case_id,dimension,persona_id,t_index,date,selection_reason,selection_rank_within_dimension,persisted_label,run_019_pred,run_020_pred,run_021_pred,run_019_uncertainty,run_020_uncertainty,run_021_uncertainty,mean_uncertainty,n_errors,n_non_neutral_errors,n_missed_active,n_severe_flip,n_correct,has_human_overlap,human_majority_label,judge_human_majority_disagree,blind_review_priority,blind_review_rank,full_context_label,full_context_rationales_json,profile_only_label,profile_only_rationales_json,student_visible_label,student_visible_rationales_json
hedonism__7a086972__1,hedonism,7a086972,1,2025-08-02,stable_non_neutral_miss,1,-1,0,0,0,0.0,0.43141913414001465,0.1414213627576828,0.19094683229923248,3,3,3,0,0,false,,false,true,1,0,"{""self_direction"": ""Lucie suppressed her genuine professional opinion \u2014 'I didn't say what I actually think' and 'just folded' \u2014 rather than authoring her own teaching approach."", ""conformity"": ""She explicitly deferred to institutional expectations to avoid being 'difficult,' noting 'everyone else in the programme just does what they're told and it works out fine.'""}",0,"{""self_direction"": ""She \""folded\"" and agreed to implement discipline she disagrees with, explicitly admitting she did not say what she actually thinks because the mentor controls her certification."", ""conformity"": ""She smiled, nodded, and said she would work on it to avoid conflict with an authority figure, choosing social harmony over honest disagreement.""}",0,"{""self_direction"": ""She 'smiled and nodded and said I'd work on it' despite believing the instruction was 'pointless,' explicitly saying she felt she 'agreed to be someone I'm not' \u2014 her authentic view was suppressed under institutional pressure."", ""security"": ""Her honest answer about why she didn't push back was 'She's the one signing off on my certification,' revealing that protecting her professional future drove the decision to comply."", ""conformity"": ""She explicitly notes 'everyone else in the programme just does what they're told and it works out fine for them,' and chose to follow that norm rather than voice dissent, despite it 'gnawing at her.'""}"
hedonism__663cb334__3,hedonism,663cb334,3,2025-05-14,stable_non_neutral_miss,2,1,0,0,0,0.1979486644268036,0.1979486644268036,0.32826071977615356,0.24138601620992026,3,3,3,0,0,false,,false,true,2,0,"{""tradition"": ""Graciela connects with Miguel from her parish and reflects on the 'unwritten rules' of navigating a new system, grounding herself in familiar community and customs she already knows."", ""benevolence"": ""Patricia's text about Sunday arroz con pollo 'settled something in me I didn't know was unsettled' \u2014 her emotional stability is directly tied to close family.""}",1,"{""hedonism"": ""Buying and eating a pan dulce on a bench while walking through campus in golden light reflects a deliberate, unhurried investment in sensory enjoyment."", ""conformity"": ""Her response about learning \""the rules nobody tells you\"" \u2014 \""when to speak, how to disagree, what is expected versus what is tolerated\"" \u2014 shows deep preoccupation with reading and fitting social norms."", ""tradition"": ""Connection to Miguel from the parish and the emotional settling triggered by Patricia's text about Sunday arroz con pollo anchor her identity in familiar cultural and familial rituals."", ""benevolence"": ""The text from Patricia about the grandchildren wanting abuela's cooking \""settled something in me I didn't know was unsettled,\"" showing her wellbeing is bound to the care and needs of close family.""}",1,"{""hedonism"": ""She 'bought a pan dulce from the bakery on the corner and ate it on the bench outside,' a small spontaneous pleasure-seeking act framed within a sensory moment ('when the light was going gold') that she clearly savored."", ""tradition"": ""Patricia's text about the kids wanting 'abuela's arroz con pollo this Sunday' \u2014 a specific family recipe invoked by name \u2014 anchors connection to cultural and familial continuity, which 'settled something in me I didn't know was unsettled.'"", ""benevolence"": ""The news that 'the kids are better' and the planned Sunday dinner 'settled something in me I didn't know was unsettled,' showing that the wellbeing of her close family directly affects her own emotional state.""}"
hedonism__e809d252__4,hedonism,e809d252,4,2025-01-17,stable_non_neutral_miss,3,1,0,0,0,0.46991097927093506,0.3187987506389618,0.1414213627576828,0.31004369755585987,3,3,3,0,0,true,1,false,true,3,1,"{""hedonism"": ""Marcus bought the strawberries because 'I was tired and I wanted something sweet' \u2014 prioritizing present sensory desire over principled restraint."", ""universalism"": ""He acknowledges the strawberries are 'wrapped in plastic that's going to exist for five hundred years' and bought them anyway, acting against his stated commitment to environmental sustainability and feeling 'like a hypocrite.'""}",1,"{""hedonism"": ""He bought the strawberries \""because I was tired and I wanted something sweet\"" \u2014 explicitly prioritizing immediate sensory desire over environmental conviction."", ""universalism"": ""He teaches sustainability and feels like a hypocrite for choosing convenience over environmental impact, but concretely acts against his stated concern for global supply chains and plastic pollution \u2014 the behavior undermines rather than advances care for the broader world.""}",1,"{""hedonism"": ""She 'bought them anyway' because she 'was tired and wanted something sweet,' choosing immediate sensory gratification over her environmental values \u2014 she acknowledges she prioritized present pleasure despite the conflict."", ""universalism"": ""She is acutely troubled that the strawberries are 'wrapped in plastic that's going to exist for five hundred years' and that her choice contradicts teaching students 'every choice matters,' demonstrating active conflict between her behavior and her concern for environmental welfare.""}"
hedonism__2da4f100__0,hedonism,2da4f100,0,2025-01-23,stable_non_neutral_miss,4,-1,0,0,0,0.43141913414001465,0.3880879282951355,0.1414213627576828,0.32030947506427765,3,3,3,0,0,false,,false,false,,-1,"{""hedonism"": ""Santiago skipped lunch entirely and spent his afternoon writing a detailed process document to fix a warehouse error \u2014 'My eyes hurt and I skipped lunch entirely' \u2014 with no pleasure or self-care."", ""achievement"": ""He wrote a comprehensive process document to eliminate a recurring operational failure, demonstrating the drive to keep the business performing at a high standard despite covering two roles simultaneously.""}",-1,"{""hedonism"": ""He \""skipped lunch entirely\"" and worked through eye strain writing detailed process documentation \u2014 actively deferring physical comfort and pleasure for operational demands."", ""achievement"": ""Writing a detailed process document after a three-hour call to fix repeated fulfillment errors, and covering a colleague's operations work, reflects persistent drive to maintain standards and keep things from falling apart.""}",-1,"{""hedonism"": ""She 'skipped lunch entirely' and spent the afternoon writing detailed process documentation to fix warehouse errors \u2014 present comfort and enjoyment were wholly sacrificed to operational demands."", ""achievement"": ""She responded to repeated fulfillment errors by writing 'a detailed process document' and managing both her own and Camilo's operations, demonstrating a drive to maintain standards and keep 'everything from falling apart.'""}"
hedonism__f990a261__1,hedonism,f990a261,1,2025-10-12,stable_non_neutral_miss,5,-1,1,1,1,0.2828427255153656,0.479795902967453,0.3642156720161438,0.3756181001663208,3,3,0,3,0,false,,false,false,,-1,"{""stimulation"": ""Brooke spent three hours 'holding juice boxes like a human vending machine' at a routine pumpkin patch \u2014 a passive, repetitive activity with nothing new or exciting for her personally."", ""hedonism"": ""The day held no enjoyment for Brooke herself; she went to bed at 8:30 and deflected her own need with 'Kids had fun. That's the point, right?' \u2014 denying her own pleasure as irrelevant.""}",-1,"{""stimulation"": ""Three hours as a \""human vending machine\"" at a pumpkin patch followed by an 8:30 bedtime represents a day completely devoid of novelty, challenge, or excitement."", ""hedonism"": ""Standing holding juice boxes for three hours, going to bed at 8:30, and responding \""It was fine. Kids had fun. That's the point, right?\"" shows a day entirely stripped of personal enjoyment or pleasure \u2014 the self is absent from the experience.""}",-1,"{""hedonism"": ""When asked what would have made the pumpkin patch better, she deflects with 'Kids had fun. That's the point, right?' \u2014 actively reframing her own absence of enjoyment as irrelevant, consistent with suppressing personal pleasure as a value."", ""benevolence"": ""She spent three hours at the pumpkin patch holding juice boxes like 'a human vending machine,' entirely oriented around the children's experience with no expectation of personal reward.""}"
hedonism__663cb334__4,hedonism,663cb334,4,2025-05-17,stable_non_neutral_miss,6,1,0,-1,0,0.4040610194206238,0.5014265179634094,0.32826071977615356,0.41124941905339557,3,3,2,1,0,false,,false,false,,0,"{""tradition"": ""Graciela cooked arroz con pollo for family gathered around her table \u2014 the same dish specifically requested by the grandchildren \u2014 enacting a food tradition that connects her Austin life to her Bogot\u00e1 past."", ""benevolence"": ""She hosted Sunday dinner for family and friends, 'scooping rice onto plates' while others shared stories, finding that the rhythms of caring for close others 'show up in different rooms now.'""}",1,"{""hedonism"": ""The Sunday dinner was \""loud and full in the way I miss sometimes during the week\"" \u2014 the warmth, the food, the company are experienced as genuine sensory and emotional pleasure that she actively values."", ""tradition"": ""Cooking arroz con pollo, sharing tres leches, gathering with Miguel and Estela from the parish \u2014 the entire event is structured around cultural and familial rituals that ground her sense of continuity."", ""benevolence"": ""Cooking for family and community and describing the dinner's fullness as restorative shows her wellbeing is intertwined with nurturing and being present for those close to her.""}",1,"{""hedonism"": ""The dinner was 'loud and full in the way I miss sometimes during the week' \u2014 the communal warmth, shared food (arroz con pollo, tres leches), and sensory richness of the gathering are experienced as genuine pleasure and emotional nourishment."", ""tradition"": ""She cooked arroz con pollo and hosted family including Miguel and Estela \u2014 the gathering centers on a heritage meal and a multigenerational community, connecting her to familiar cultural rhythms."", ""benevolence"": ""She made the meal, hosted the gathering, and found that 'the rhythms I already know are enough' \u2014 her sense of belonging and peace is rooted in caring for and being present with her close community.""}"
hedonism__7a086972__6,hedonism,7a086972,6,2025-08-14,stable_non_neutral_miss,7,1,0,-1,0,0.5252793431282043,0.8734169602394104,0.3136356770992279,0.5707773268222809,3,3,2,1,0,false,,false,false,,1,"{""self_direction"": ""Lucie again suppressed her genuine self-assessment \u2014 telling Thomas her review 'went well too' when she was actually frustrated \u2014 continuing to play along rather than voice her authentic view."", ""hedonism"": ""After a difficult review day, Lucie deliberately chose dinner and wine with Camille \u2014 'good food, good company' \u2014 as exactly the restorative pleasure she needed, investing in enjoyment to close the week.""}",1,"{""hedonism"": ""After a frustrating review, she deliberately invests in \""good food, good company\"" \u2014 dinner with Camille and a bottle of wine specifically framed as what she needed to decompress and end the week."", ""conformity"": ""Despite privately disagreeing with her mentor's assessment, she \""thanked her for the feedback and said I'd keep working on it\"" and told peers her review \""went well too\"" \u2014 consistently self-monitoring to maintain social harmony and meet expectations.""}",1,"{""self_direction"": ""She knows 'I think I'm better than meets expectations' and has a clear pedagogical philosophy ('I let them breathe'), yet once again suppresses it \u2014 'I thanked her for the feedback and said I'd keep working on it' \u2014 choosing institutional compliance over authentic self-expression."", ""hedonism"": ""Dinner with Camille, splitting 'a bottle of wine,' 'good food, good company' was described as 'exactly what I needed' \u2014 a deliberate investment in sensory and social pleasure as restorative, with the satisfaction of a 'clean kitchen afterwards' marking a complete, pleasurable closure to the week.""}"
hedonism__f2a0de6f__5,hedonism,f2a0de6f,5,2025-09-19,stable_non_neutral_miss,8,1,0,-1,0,0.6388765573501587,0.6773297190666199,0.4848732352256775,0.600359837214152,3,3,2,1,0,false,,false,false,,0,"{""benevolence"": ""Jaylen's crayon drawing \u2014 'me and him and the classroom hamster' \u2014 provided complete emotional sufficiency for Sarah: 'Some days that's enough. Today it was,' showing her fulfillment is rooted in a student's affection.""}",0,"{""benevolence"": ""Jaylen's drawing and calling her \""his favorite teacher ever\"" is the signal event of the day \u2014 her emotional fulfillment comes entirely from the felt impact on a child close to her, which is sufficient to make the whole day feel complete.""}",0,"{""benevolence"": ""Jaylen's crayon drawing of them together 'was enough' today \u2014 the emotional fulfillment from a child's affection and trust is the sole event described, and it fully satisfies her.""}"
hedonism__440e5deb__4,hedonism,440e5deb,4,2025-12-27,stable_non_neutral_miss,9,1,-1,-1,-1,0.49651849269866943,0.8081220388412476,0.5802884697914124,0.6283096671104431,3,3,0,3,0,true,1,false,false,,1,"{""self_direction"": ""Priya consciously resists the internal voice telling her to check email \u2014 'The rational part of me knows one more day won't matter' \u2014 and chooses to close the laptop, authoring her own boundary against external pressure."", ""hedonism"": ""She explicitly chooses to 'protect this feeling a little longer,' prioritizing the enjoyment of her holiday state over anxiety-driven work preparation, closing the laptop as a deliberate act of self-care.""}",1,"{""stimulation"": ""Arjun suggests more \""spontaneous trips\"" and Priya agrees, and the Malacca visit itself \u2014 Jonker Street, cendol, murals, being \""curious about things that aren't work-related\"" \u2014 reflects active engagement with novelty and discovery."", ""hedonism"": ""She explicitly describes the trip as restoring her sense of self through pleasure \u2014 \""laughing at dumb jokes, being curious, enjoying food without rushing\"" \u2014 and actively chooses to close her laptop to protect that feeling rather than returning to work anxiety.""}",1,"{""hedonism"": ""She consciously decides to 'close the laptop' and defer email, explicitly choosing to 'protect this feeling a little longer' \u2014 the feeling of being 'like myself again' on the trip, 'enjoying food without rushing,' is something she actively defends against anxiety."", ""security"": ""The anxiety about checking email \u2014 'a voice that says I'll be behind, that other teachers are already preparing' \u2014 represents a chronic threat response to uncertainty, and the whole entry is shaped by the tension between this security-seeking impulse and her desire to stay present.""}"
hedonism__f990a261__10,hedonism,f990a261,10,2025-11-11,stable_non_neutral_miss,10,-1,0,0,1,0.5329930782318115,0.7287114858627319,0.6565214395523071,0.6394086678822836,3,3,2,1,0,false,,false,false,,-1,"{""stimulation"": ""Brooke missed her ceramics class \u2014 the one activity she described as genuinely her own \u2014 because of caregiving obligations, and feels 'every time I carve out something that's mine' it gets swallowed up."", ""hedonism"": ""Missing ceramics felt to Brooke 'like something being taken away,' as if 'I don't actually get to have my own thing' \u2014 her source of personal pleasure was again sacrificed to family demands."", ""benevolence"": ""Despite feeling 'both tender and trapped,' Brooke stayed in Olive's room rubbing her back while she slept, prioritizing her daughter's comfort over her own needs.""}",-1,"{""stimulation"": ""Missing ceramics \u2014 her carved-out creative activity \u2014 due to a sick child, and watching others post photos of their glazed pieces, she feels that \""every time I carve out something that is mine\"" circumstances swallow it back, reflecting recurring loss of the stimulating outlet."", ""hedonism"": ""She directly frames missing ceramics as \""something being taken away\"" and feeling \""trapped\"" \u2014 the involuntary loss of her personal pleasurable activity is the emotional core of the entry, showing hedonism being frustrated rather than fulfilled."", ""benevolence"": ""Sitting in Olive's room rubbing her back while she slept \u2014 prioritizing her sick child's comfort through the night \u2014 is an act of direct caregiving for close family.""}",-1,"{""hedonism"": ""She missed ceramics \u2014 described as 'something that's mine' \u2014 to care for Olive, and the entry explicitly frames this as 'something being taken away,' with the pattern of 'every time I carve out something that's mine, a fever or a school closure or a dentist appointment swallows it back up.'"", ""benevolence"": ""She stayed in Olive's room 'rubbing her back while she slept' throughout the night, choosing presence and physical comfort for her sick child over her own planned activity.""}"
hedonism__440e5deb__3,hedonism,440e5deb,3,2025-12-24,stable_non_neutral_miss,11,1,-1,-1,-1,0.6060915589332581,0.6998541951179504,0.6776309013366699,0.6611922184626261,3,3,0,3,0,true,1,false,false,,1,"{""hedonism"": ""Priya spends the day lazing, watching a movie, playing cards, reading 'an actual novel, not a teaching resource,' and eating leftovers while explicitly noting she 'hasn't thought about school once today,' followed by a planned day trip to try a famous food destination.""}",1,"{""stimulation"": ""Priya seeks out novel pleasures \u2014 the night market, buying ridiculous couple keychains, and planning a day trip to Malacca specifically to try a new chicken rice ball place."", ""hedonism"": ""The entire day is devoted to sensory pleasure and rest \u2014 biryani, card games with the grandma, reading a novel in the garden swing \u2014 and she notes the deliberate contrast with work: \""an actual novel, not a teaching resource.\"""", ""benevolence"": ""She invests warmly in Arjun's family circle \u2014 catching up with Kavitha, playing cards with his grandma, and finding it \""nice talking\"" when she spontaneously shared a student story with Kavitha.""}",1,"{""hedonism"": ""The entire day is devoted to pleasure \u2014 lazing around, watching a movie, eating leftovers, reading \""an actual novel, not a teaching resource,\"" and planning a trip specifically to eat at a \""famous chicken rice ball place.\"""", ""benevolence"": ""Priya invests the holiday in quality time with Arjun and his family, catching up with his sister Kavitha, playing cards with his grandma, and noticing Arjun's caring concern when he says \""you looked really worn out.\""""}"
hedonism__f2a0de6f__8,hedonism,f2a0de6f,8,2025-09-28,stable_non_neutral_miss,12,1,0,-1,-1,0.5146823525428772,0.9749934673309326,0.5034574270248413,0.664377748966217,3,3,1,2,0,false,,false,false,,0,{},0,"{""benevolence"": ""Sarah accepts Lisa's invitation for brunch, noting it is \""the first social plan I've made in three weeks that isn't work-related,\"" indicating she is actively investing in a close friendship.""}",0,{}
hedonism__f990a261__11,hedonism,f990a261,11,2025-11-16,stable_non_neutral_miss,13,-1,0,1,1,0.6651684045791626,0.969746470451355,0.9424241185188293,0.8591129978497823,3,3,1,2,0,false,,false,false,,1,"{""stimulation"": ""Brooke explicitly longs to 'walk into a room and not know what's about to happen' and to 'be surprised by something,' expressing that predictable domestic routine has replaced the thrill she once had in high-stakes event planning."", ""hedonism"": ""Brooke articulates 'I don't want to plan other people's good times anymore. I want to have my own,' framing her core desire as experiencing personal pleasure, and reflecting that she has 'become the kind of person who needs permission to enjoy things.'""}",-1,"{""self_direction"": ""Brooke describes having become \""the kind of person who needs permission to enjoy things\"" and defaults to \""maybe\"" as a way to avoid asserting her own preferences, abdicating her autonomy in practice."", ""stimulation"": ""She explicitly articulates craving novelty and surprise: \""I want to walk into a room and not know what's about to happen\"" and names \""the chaos of event day when everything could go wrong\"" as what she misses most."", ""hedonism"": ""Despite articulating a desire for pleasure, Brooke actively suppresses it \u2014 \""it's just easier to say maybe and keep making lunches\"" \u2014 choosing habitual self-denial over pursuing enjoyment.""}",-1,"{""self_direction"": ""\""Maybe is how you say no without having to defend it\"" \u2014 the persona actively avoids making autonomous choices by defaulting to deflection, and the nudge response confirms she is \""the only one who knows\"" she wants something different but won't act on it."", ""hedonism"": ""She explicitly acknowledges \""I became the kind of person who needs permission to enjoy things\"" and continues to suppress her own pleasure by saying \""maybe\"" and \""keep making lunches\"" rather than pursuing the experiences she craves.""}"
hedonism__440e5deb__1,hedonism,440e5deb,1,2025-12-10,judge_human_majority_disagree,14,0,-1,-1,-1,0.3505098223686218,0.32826071977615356,0.3642156720161438,0.3476620713869731,3,0,0,0,0,true,-1,true,false,,0,"{""achievement"": ""Priya stays until 6:30pm cutting laminated shapes to create engaging activities, and the critique from her mentor about prioritizing 'student engagement over curriculum coverage' stings because her teaching quality and recognition matter deeply to her."", ""conformity"": ""Despite internally defending her methods, Priya ultimately defers to her mentor's authority \u2014 'I'll focus on pacing next term and it'll be fine' \u2014 rationalizing the feedback and adjusting behavior to meet institutional expectations.""}",0,"{""conformity"": ""After Mrs. Tan's critical feedback, Priya commits to adjusting her behavior to meet institutional expectations \u2014 \""I'll focus on pacing next term\"" \u2014 prioritizing approval over her own pedagogical approach."", ""benevolence"": ""Priya's teaching approach is driven by genuine care for her students \u2014 she invests extra hours making materials and finds real satisfaction when Aisha says \""math is her favorite subject now because of my fraction pizza activity.\""""}",0,"{""achievement"": ""She stays until 6:30pm cutting laminated shapes and invests extra effort into creative lessons, demonstrating a drive to excel as a teacher even at personal cost."", ""conformity"": ""After privately questioning Mrs. Tan's criticism, she resolves in the nudge response to \""focus on pacing next term\"" \u2014 backing down from her own approach to meet the senior teacher's expectations."", ""benevolence"": ""She notices and values that \""Aisha told me yesterday that math is her favorite subject now,\"" showing investment in individual students' wellbeing and growth.""}"
security__799f3751__2,security,799f3751,2,2025-05-22,stable_non_neutral_miss,1,1,0,0,0,0.0,0.0,0.1979486644268036,0.06598288814226787,3,3,3,0,0,false,,false,true,1,0,"{""self_direction"": ""Meera reveals she 'stopped asking' for what she wants and learned 'how to not need things,' actively suppressing her own autonomous desires to avoid friction in the household."", ""hedonism"": ""Meera has reduced her personal pleasure to waking 20 minutes early for a solitary cup of chai \u2014 'my one thing' \u2014 having systematically eliminated larger pleasures to 'need smaller things that nobody would notice,' a clear pattern of pleasure-denial."", ""conformity"": ""Meera's entire coping strategy is built around keeping harmony \u2014 nodding at home remedies she knows won't work, never asking for what she wants, structuring her needs to be invisible \u2014 to avoid disrupting the household's social expectations.""}",0,"{""self_direction"": ""Meera has systematically erased her own preferences and needs: \""somewhere along the way I stopped asking... it was just easier to figure out how to not need things,\"" describing a complete abdication of self-authored choices."", ""hedonism"": ""She actively suppresses any personal pleasure \u2014 reducing her sole enjoyment to 20 stolen minutes of morning chai and framing even that as barely permitted, describing having learned \""to need smaller things that nobody would notice.\"""", ""benevolence"": ""Meera's entire orientation is toward family care \u2014 the kids are recovering, she appreciates Mummyji's unsolicited kindness with khichdi, and her own wellbeing is entirely framed around others' needs.""}",0,"{""self_direction"": ""\""Somewhere along the way I stopped asking. It was just easier to figure out how to not need things\"" \u2014 she has progressively surrendered self-advocacy, choosing to minimize her own desires rather than express and pursue them autonomously.""}"
security__7a086972__5,security,7a086972,5,2025-08-08,stable_non_neutral_miss,2,1,0,0,0,0.0,0.0,0.1979486644268036,0.06598288814226787,3,3,3,0,0,false,,false,true,2,0,"{""conformity"": ""Lucie avoids the party because a comment she made three weeks ago \u2014 that the supervisor 'gives vague feedback' \u2014 'felt like I'd broken some rule I didn't know existed,' and she replays what she should have said differently to avoid future social missteps.""}",0,"{""hedonism"": ""Despite social anxiety, Lucie genuinely enjoys her solo evening \u2014 \""leftover macarons and a show about renovating houses in Normandy\"" \u2014 and her closing reflection that \""the mouth-shut version... has fewer macarons\"" acknowledges that authentic pleasure comes from choosing her own comfort over social performance.""}",0,"{""self_direction"": ""She skipped the party because she said something honest about her supervisor and \""could feel the room shift\"" \u2014 choosing to stay silent and absent rather than risk speaking her mind again, actively suppressing authentic self-expression."", ""conformity"": ""Her decision to avoid the party stems from replaying a comment that \""felt like I'd broken some rule I didn't know existed,\"" and she concludes \""the mouth-shut version of me has fewer problems\"" \u2014 actively regulating behavior to restore social harmony.""}"
security__a13aa34b__5,security,a13aa34b,5,2025-10-20,stable_non_neutral_miss,3,1,0,0,0,0.0,0.0,0.1979486644268036,0.06598288814226787,3,3,3,0,0,false,,false,true,3,1,"{""self_direction"": ""Nadia spontaneously experiments in the empty studio 'without really deciding to,' letting the letters drift and creating a second version on her own terms \u2014 private creative authorship independent of both her professor's demands and her family's expectations."", ""stimulation"": ""She lets the letters 'drift apart, stretched the connections, let the lam curve wider than it should,' a deliberate departure from predictable classical form that introduces novelty into a highly codified practice."", ""security"": ""Nadia keeps both sheets private \u2014 'I haven't shown anyone' \u2014 specifically to avoid triggering pressure from either her professor or her grandmother, protecting herself from conflict and unwanted change by concealing the experiment."", ""tradition"": ""Nadia begins by writing the bismillah in 'perfect form, clean lines' exactly as her grandfather taught her, and even the experimental version still reads as the sacred phrase, with her noting 'Jiddo would have recognized the hand.'""}",0,"{""self_direction"": ""Nadia spontaneously experiments with the calligraphy form \""without really deciding to\"" and then keeps both sheets private, owning her exploration without external validation or direction."", ""tradition"": ""She begins by writing the bismillah \""the way jiddo taught me. Perfect form, clean lines\"" and even her modified version is described with reverence \u2014 \""Teta could still read it. Jiddo would have recognized the hand\"" \u2014 grounding the experiment in inherited heritage.""}",0,"{""self_direction"": ""Without being directed to, she spontaneously began an experimental variation \u2014 letting letters \""drift apart\"" and \""curve wider than it should\"" \u2014 and keeps both sheets private to protect her creative process from external pressure."", ""tradition"": ""She begins by writing the bismillah \""in naskh the way jiddo taught me\"" with \""perfect form, clean lines,\"" and the experimental version is evaluated against whether \""Teta could still read it\"" and \""Jiddo would have recognized the hand\"" \u2014 ancestral transmission remains her reference point.""}"
security__58d843b6__10,security,58d843b6,10,2025-06-27,stable_non_neutral_miss,4,1,0,0,0,0.0,0.1414213627576828,0.1414213627576828,0.09428090850512187,3,3,3,0,0,false,,false,false,,0,"{""tradition"": ""Tariq agonizes over the rebranded label \u2014 'The crest is there, the Arabic is there, just smaller' \u2014 and frames his resistance around the fact that his father 'earned the right to decide what stayed and what evolved,' revealing that preserving his father's legacy is the lens through which all business decisions are filtered.""}",0,"{""tradition"": ""Tariq's anguish over the modernization proposal centers on inherited continuity: \""He earned the right to decide what stayed and what evolved. I inherited the decision and it does not sit the same way\"" \u2014 he measures the change against his father's legacy."", ""benevolence"": ""His deepest concern is \""this weight in my chest every time I think about the company ten years from now with no family in it,\"" framing the business's future in terms of family continuity rather than profit or status.""}",-1,"{""security"": ""The persona is paralyzed by the threat of destabilization \u2014 unable to answer the distributor's proposal or the question about her daughter's London move \u2014 expressing \""this weight in my chest every time I think about the company ten years from now with no family in it,\"" indicating her sense of safety depends on preserving the status quo."", ""tradition"": ""\""He was the one making those changes. He earned the right to decide what stayed and what evolved\"" \u2014 she experiences the proposed modernization as a violation of inherited stewardship, measuring every change against what her father built.""}"
