pass_index,shard_id,attempt,worker_model
1,pass_1_shard_001,1,gpt-5.4
1,pass_1_shard_002,1,gpt-5.4
1,pass_1_shard_003,1,gpt-5.4
1,pass_1_shard_004,1,gpt-5.4
1,pass_1_shard_005,1,gpt-5.4
1,pass_1_shard_006,1,gpt-5.4
1,pass_1_shard_007,1,gpt-5.4
1,pass_1_shard_008,2,gpt-5.4
1,pass_1_shard_009,2,gpt-5.4
1,pass_1_shard_010,2,gpt-5.4
1,pass_1_shard_011,2,gpt-5.4
1,pass_1_shard_012,2,gpt-5.4
1,pass_1_shard_013,2,gpt-5.4
1,pass_1_shard_014,1,gpt-5.4
1,pass_1_shard_015,1,gpt-5.4
1,pass_1_shard_016,1,gpt-5.4
1,pass_1_shard_017,1,gpt-5.4
1,pass_1_shard_018,1,gpt-5.4
1,pass_1_shard_019,1,gpt-5.4
1,pass_1_shard_020,1,gpt-5.4
1,pass_1_shard_021,1,gpt-5.4
1,pass_1_shard_022,1,gpt-5.4
1,pass_1_shard_023,1,gpt-5.4
1,pass_1_shard_024,1,gpt-5.4
1,pass_1_shard_025,1,gpt-5.4
1,pass_1_shard_026,2,gpt-5.4
1,pass_1_shard_027,2,gpt-5.4
1,pass_1_shard_028,2,gpt-5.4
1,pass_1_shard_029,1,gpt-5.4
1,pass_1_shard_030,1,gpt-5.4
1,pass_1_shard_031,2,gpt-5.4
1,pass_1_shard_032,2,gpt-5.4
1,pass_1_shard_033,2,gpt-5.4
1,pass_1_shard_034,1,gpt-5.4
1,pass_1_shard_035,1,gpt-5.4
1,pass_1_shard_036,1,gpt-5.4
1,pass_1_shard_037,1,gpt-5.4
1,pass_1_shard_038,1,gpt-5.4
1,pass_1_shard_039,1,gpt-5.4
1,pass_1_shard_040,1,gpt-5.4
1,pass_1_shard_041,1,gpt-5.4
1,pass_1_shard_042,1,gpt-5.4
1,pass_1_shard_043,1,gpt-5.4
1,pass_1_shard_044,1,gpt-5.4
1,pass_1_shard_045,1,gpt-5.4
1,pass_1_shard_046,1,gpt-5.4
1,pass_1_shard_047,1,gpt-5.4
1,pass_1_shard_048,1,gpt-5.4
1,pass_1_shard_049,1,gpt-5.4
1,pass_1_shard_050,1,gpt-5.4
1,pass_1_shard_051,1,gpt-5.4
1,pass_1_shard_052,1,gpt-5.4
1,pass_1_shard_053,1,gpt-5.4
1,pass_1_shard_054,1,gpt-5.4
1,pass_1_shard_055,1,gpt-5.4
1,pass_1_shard_056,1,gpt-5.4
1,pass_1_shard_057,3,gpt-5.4
1,pass_1_shard_058,3,gpt-5.4
1,pass_1_shard_059,3,gpt-5.4
1,pass_1_shard_060,3,gpt-5.4
1,pass_1_shard_061,3,gpt-5.4
1,pass_1_shard_062,3,gpt-5.4
1,pass_1_shard_063,3,gpt-5.4
1,pass_1_shard_064,3,gpt-5.4
1,pass_1_shard_065,3,gpt-5.4
1,pass_1_shard_066,3,gpt-5.4
1,pass_1_shard_067,3,gpt-5.4
1,pass_1_shard_068,3,gpt-5.4
1,pass_1_shard_069,3,gpt-5.4
1,pass_1_shard_070,3,gpt-5.4
1,pass_1_shard_071,3,gpt-5.4
1,pass_1_shard_072,3,gpt-5.4
1,pass_1_shard_073,3,gpt-5.4
1,pass_1_shard_074,3,gpt-5.4
1,pass_1_shard_075,3,gpt-5.4
1,pass_1_shard_076,3,gpt-5.4
1,pass_1_shard_077,3,gpt-5.4
1,pass_1_shard_078,3,gpt-5.4
1,pass_1_shard_079,3,gpt-5.4
1,pass_1_shard_080,3,gpt-5.4
1,pass_1_shard_081,3,gpt-5.4
1,pass_1_shard_082,3,gpt-5.4
1,pass_1_shard_083,3,gpt-5.4
2,pass_2_shard_001,1,gpt-5.4
2,pass_2_shard_002,1,gpt-5.4
2,pass_2_shard_003,1,gpt-5.4
2,pass_2_shard_004,1,gpt-5.4
2,pass_2_shard_005,1,gpt-5.4
2,pass_2_shard_006,1,gpt-5.4
2,pass_2_shard_007,1,gpt-5.4
2,pass_2_shard_008,1,gpt-5.4
2,pass_2_shard_009,1,gpt-5.4
2,pass_2_shard_010,1,gpt-5.4
2,pass_2_shard_011,1,gpt-5.4
2,pass_2_shard_012,1,gpt-5.4
2,pass_2_shard_013,1,gpt-5.4
2,pass_2_shard_014,1,gpt-5.4
2,pass_2_shard_015,1,gpt-5.4
2,pass_2_shard_016,1,gpt-5.4
2,pass_2_shard_017,1,gpt-5.4
2,pass_2_shard_018,1,gpt-5.4
2,pass_2_shard_019,1,gpt-5.4
2,pass_2_shard_020,1,gpt-5.4
2,pass_2_shard_021,1,gpt-5.4
2,pass_2_shard_022,1,gpt-5.4
2,pass_2_shard_023,1,gpt-5.4
2,pass_2_shard_024,1,gpt-5.4
2,pass_2_shard_025,1,gpt-5.4
2,pass_2_shard_026,1,gpt-5.4
2,pass_2_shard_027,1,gpt-5.4
2,pass_2_shard_028,1,gpt-5.4
2,pass_2_shard_029,1,gpt-5.4
2,pass_2_shard_030,1,gpt-5.4
2,pass_2_shard_031,1,gpt-5.4
2,pass_2_shard_032,1,gpt-5.4
2,pass_2_shard_033,1,gpt-5.4
2,pass_2_shard_034,1,gpt-5.4
2,pass_2_shard_035,1,gpt-5.4
2,pass_2_shard_036,1,gpt-5.4
2,pass_2_shard_037,1,gpt-5.4
2,pass_2_shard_038,1,gpt-5.4
2,pass_2_shard_039,1,gpt-5.4
2,pass_2_shard_040,1,gpt-5.4
2,pass_2_shard_041,1,gpt-5.4
2,pass_2_shard_042,1,gpt-5.4
2,pass_2_shard_043,1,gpt-5.4
2,pass_2_shard_044,1,gpt-5.4
2,pass_2_shard_045,1,gpt-5.4
2,pass_2_shard_046,1,gpt-5.4
2,pass_2_shard_047,1,gpt-5.4
2,pass_2_shard_048,1,gpt-5.4
2,pass_2_shard_049,1,gpt-5.4
2,pass_2_shard_050,1,gpt-5.4
2,pass_2_shard_051,1,gpt-5.4
2,pass_2_shard_052,1,gpt-5.4
2,pass_2_shard_053,1,gpt-5.4
2,pass_2_shard_054,1,gpt-5.4
2,pass_2_shard_055,1,gpt-5.4
2,pass_2_shard_056,1,gpt-5.4
2,pass_2_shard_057,1,gpt-5.4
2,pass_2_shard_058,1,gpt-5.4
2,pass_2_shard_059,1,gpt-5.4
2,pass_2_shard_060,1,gpt-5.4
2,pass_2_shard_061,1,gpt-5.4
2,pass_2_shard_062,1,gpt-5.4
2,pass_2_shard_063,1,gpt-5.4
2,pass_2_shard_064,1,gpt-5.4
2,pass_2_shard_065,1,gpt-5.4
2,pass_2_shard_066,1,gpt-5.4
2,pass_2_shard_067,1,gpt-5.4
2,pass_2_shard_068,1,gpt-5.4
2,pass_2_shard_069,1,gpt-5.4
2,pass_2_shard_070,1,gpt-5.4
2,pass_2_shard_071,1,gpt-5.4
2,pass_2_shard_072,1,gpt-5.4
2,pass_2_shard_073,1,gpt-5.4
2,pass_2_shard_074,1,gpt-5.4
2,pass_2_shard_075,1,gpt-5.4
2,pass_2_shard_076,1,gpt-5.4
2,pass_2_shard_077,1,gpt-5.4
2,pass_2_shard_078,1,gpt-5.4
2,pass_2_shard_079,1,gpt-5.4
2,pass_2_shard_080,1,gpt-5.4
2,pass_2_shard_081,1,gpt-5.4
2,pass_2_shard_082,1,gpt-5.4
2,pass_2_shard_083,1,gpt-5.4
3,pass_3_shard_001,1,gpt-5.4
3,pass_3_shard_002,1,gpt-5.4
3,pass_3_shard_003,1,gpt-5.4
3,pass_3_shard_004,1,gpt-5.4
3,pass_3_shard_005,1,gpt-5.4
3,pass_3_shard_006,1,gpt-5.4
3,pass_3_shard_007,1,gpt-5.4
3,pass_3_shard_008,1,gpt-5.4
3,pass_3_shard_009,1,gpt-5.4
3,pass_3_shard_010,1,gpt-5.4
3,pass_3_shard_011,1,gpt-5.4
3,pass_3_shard_012,1,gpt-5.4
3,pass_3_shard_013,1,gpt-5.4
3,pass_3_shard_014,1,gpt-5.4
3,pass_3_shard_015,1,gpt-5.4
3,pass_3_shard_016,1,gpt-5.4
3,pass_3_shard_017,1,gpt-5.4
3,pass_3_shard_018,1,gpt-5.4
3,pass_3_shard_019,1,gpt-5.4
3,pass_3_shard_020,1,gpt-5.4
3,pass_3_shard_021,1,gpt-5.4
3,pass_3_shard_022,1,gpt-5.4
3,pass_3_shard_023,1,gpt-5.4
3,pass_3_shard_024,1,gpt-5.4
3,pass_3_shard_025,1,gpt-5.4
3,pass_3_shard_026,1,gpt-5.4
3,pass_3_shard_027,1,gpt-5.4
3,pass_3_shard_028,1,gpt-5.4
3,pass_3_shard_029,1,gpt-5.4
3,pass_3_shard_030,1,gpt-5.4
3,pass_3_shard_031,1,gpt-5.4
3,pass_3_shard_032,1,gpt-5.4
3,pass_3_shard_033,1,gpt-5.4
3,pass_3_shard_034,1,gpt-5.4
3,pass_3_shard_035,1,gpt-5.4
3,pass_3_shard_036,1,gpt-5.4
3,pass_3_shard_037,1,gpt-5.4
3,pass_3_shard_038,1,gpt-5.4
3,pass_3_shard_039,1,gpt-5.4
3,pass_3_shard_040,1,gpt-5.4
3,pass_3_shard_041,1,gpt-5.4
3,pass_3_shard_042,1,gpt-5.4
3,pass_3_shard_043,1,gpt-5.4
3,pass_3_shard_044,1,gpt-5.4
3,pass_3_shard_045,1,gpt-5.4
3,pass_3_shard_046,1,gpt-5.4
3,pass_3_shard_047,1,gpt-5.4
3,pass_3_shard_048,1,gpt-5.4
3,pass_3_shard_049,1,gpt-5.4
3,pass_3_shard_050,1,gpt-5.4
3,pass_3_shard_051,1,gpt-5.4
3,pass_3_shard_052,1,gpt-5.4
3,pass_3_shard_053,1,gpt-5.4
3,pass_3_shard_054,1,gpt-5.4
3,pass_3_shard_055,1,gpt-5.4
3,pass_3_shard_056,1,gpt-5.4
3,pass_3_shard_057,1,gpt-5.4
3,pass_3_shard_058,1,gpt-5.4
3,pass_3_shard_059,1,gpt-5.4
3,pass_3_shard_060,1,gpt-5.4
3,pass_3_shard_061,1,gpt-5.4
3,pass_3_shard_062,3,gpt-5.4
3,pass_3_shard_063,3,gpt-5.4
3,pass_3_shard_064,3,gpt-5.4
3,pass_3_shard_065,3,gpt-5.4
3,pass_3_shard_066,3,gpt-5.4
3,pass_3_shard_067,3,gpt-5.4
3,pass_3_shard_068,3,gpt-5.4
3,pass_3_shard_069,3,gpt-5.4
3,pass_3_shard_070,3,gpt-5.4
3,pass_3_shard_071,3,gpt-5.4
3,pass_3_shard_072,3,gpt-5.4
3,pass_3_shard_073,3,gpt-5.4
3,pass_3_shard_074,3,gpt-5.4
3,pass_3_shard_075,3,gpt-5.4
3,pass_3_shard_076,3,gpt-5.4
3,pass_3_shard_077,3,gpt-5.4
3,pass_3_shard_078,3,gpt-5.4
3,pass_3_shard_079,3,gpt-5.4
3,pass_3_shard_080,3,gpt-5.4
3,pass_3_shard_081,3,gpt-5.4
3,pass_3_shard_082,3,gpt-5.4
3,pass_3_shard_083,3,gpt-5.4
4,pass_4_shard_001,1,gpt-5.4
4,pass_4_shard_002,1,gpt-5.4
4,pass_4_shard_003,1,gpt-5.4
4,pass_4_shard_004,1,gpt-5.4
4,pass_4_shard_005,1,gpt-5.4
4,pass_4_shard_006,1,gpt-5.4
4,pass_4_shard_007,1,gpt-5.4
4,pass_4_shard_008,1,gpt-5.4
4,pass_4_shard_009,1,gpt-5.4
4,pass_4_shard_010,1,gpt-5.4
4,pass_4_shard_011,1,gpt-5.4
4,pass_4_shard_012,1,gpt-5.4
4,pass_4_shard_013,1,gpt-5.4
4,pass_4_shard_014,1,gpt-5.4
4,pass_4_shard_015,1,gpt-5.4
4,pass_4_shard_016,1,gpt-5.4
4,pass_4_shard_017,1,gpt-5.4
4,pass_4_shard_018,1,gpt-5.4
4,pass_4_shard_019,1,gpt-5.4
4,pass_4_shard_020,1,gpt-5.4
4,pass_4_shard_021,1,gpt-5.4
4,pass_4_shard_022,1,gpt-5.4
4,pass_4_shard_023,1,gpt-5.4
4,pass_4_shard_024,1,gpt-5.4
4,pass_4_shard_025,1,gpt-5.4
4,pass_4_shard_026,1,gpt-5.4
4,pass_4_shard_027,1,gpt-5.4
4,pass_4_shard_028,1,gpt-5.4
4,pass_4_shard_029,1,gpt-5.4
4,pass_4_shard_030,1,gpt-5.4
4,pass_4_shard_031,1,gpt-5.4
4,pass_4_shard_032,1,gpt-5.4
4,pass_4_shard_033,1,gpt-5.4
4,pass_4_shard_034,1,gpt-5.4
4,pass_4_shard_035,1,gpt-5.4
4,pass_4_shard_036,1,gpt-5.4
4,pass_4_shard_037,1,gpt-5.4
4,pass_4_shard_038,1,gpt-5.4
4,pass_4_shard_039,1,gpt-5.4
4,pass_4_shard_040,1,gpt-5.4
4,pass_4_shard_041,1,gpt-5.4
4,pass_4_shard_042,1,gpt-5.4
4,pass_4_shard_043,1,gpt-5.4
4,pass_4_shard_044,1,gpt-5.4
4,pass_4_shard_045,1,gpt-5.4
4,pass_4_shard_046,1,gpt-5.4
4,pass_4_shard_047,1,gpt-5.4
4,pass_4_shard_048,1,gpt-5.4
4,pass_4_shard_049,1,gpt-5.4
4,pass_4_shard_050,1,gpt-5.4
4,pass_4_shard_051,1,gpt-5.4
4,pass_4_shard_052,1,gpt-5.4
4,pass_4_shard_053,1,gpt-5.4
4,pass_4_shard_054,1,gpt-5.4
4,pass_4_shard_055,1,gpt-5.4
4,pass_4_shard_056,1,gpt-5.4
4,pass_4_shard_057,1,gpt-5.4
4,pass_4_shard_058,1,gpt-5.4
4,pass_4_shard_059,1,gpt-5.4
4,pass_4_shard_060,1,gpt-5.4
4,pass_4_shard_061,1,gpt-5.4
4,pass_4_shard_062,1,gpt-5.4
4,pass_4_shard_063,1,gpt-5.4
4,pass_4_shard_064,1,gpt-5.4
4,pass_4_shard_065,1,gpt-5.4
4,pass_4_shard_066,1,gpt-5.4
4,pass_4_shard_067,1,gpt-5.4
4,pass_4_shard_068,1,gpt-5.4
4,pass_4_shard_069,1,gpt-5.4
4,pass_4_shard_070,1,gpt-5.4
4,pass_4_shard_071,1,gpt-5.4
4,pass_4_shard_072,1,gpt-5.4
4,pass_4_shard_073,1,gpt-5.4
4,pass_4_shard_074,1,gpt-5.4
4,pass_4_shard_075,1,gpt-5.4
4,pass_4_shard_076,1,gpt-5.4
4,pass_4_shard_077,1,gpt-5.4
4,pass_4_shard_078,1,gpt-5.4
4,pass_4_shard_079,1,gpt-5.4
4,pass_4_shard_080,1,gpt-5.4
4,pass_4_shard_081,1,gpt-5.4
4,pass_4_shard_082,1,gpt-5.4
4,pass_4_shard_083,1,gpt-5.4
5,pass_5_shard_001,1,gpt-5.4
5,pass_5_shard_002,1,gpt-5.4
5,pass_5_shard_003,1,gpt-5.4
5,pass_5_shard_004,1,gpt-5.4
5,pass_5_shard_005,1,gpt-5.4
5,pass_5_shard_006,1,gpt-5.4
5,pass_5_shard_007,1,gpt-5.4
5,pass_5_shard_008,1,gpt-5.4
5,pass_5_shard_009,1,gpt-5.4
5,pass_5_shard_010,1,gpt-5.4
5,pass_5_shard_011,1,gpt-5.4
5,pass_5_shard_012,1,gpt-5.4
5,pass_5_shard_013,1,gpt-5.4
5,pass_5_shard_014,1,gpt-5.4
5,pass_5_shard_015,1,gpt-5.4
5,pass_5_shard_016,1,gpt-5.4
5,pass_5_shard_017,1,gpt-5.4
5,pass_5_shard_018,1,gpt-5.4
5,pass_5_shard_019,1,gpt-5.4
5,pass_5_shard_020,1,gpt-5.4
5,pass_5_shard_021,1,gpt-5.4
5,pass_5_shard_022,1,gpt-5.4
5,pass_5_shard_023,1,gpt-5.4
5,pass_5_shard_024,1,gpt-5.4
5,pass_5_shard_025,1,gpt-5.4
5,pass_5_shard_026,1,gpt-5.4
5,pass_5_shard_027,1,gpt-5.4
5,pass_5_shard_028,1,gpt-5.4
5,pass_5_shard_029,1,gpt-5.4
5,pass_5_shard_030,1,gpt-5.4
5,pass_5_shard_031,1,gpt-5.4
5,pass_5_shard_032,4,gpt-5.4
5,pass_5_shard_033,4,gpt-5.4
5,pass_5_shard_034,4,gpt-5.4
5,pass_5_shard_035,4,gpt-5.4
5,pass_5_shard_036,4,gpt-5.4
5,pass_5_shard_037,4,gpt-5.4
5,pass_5_shard_038,4,gpt-5.4
5,pass_5_shard_039,4,gpt-5.4
5,pass_5_shard_040,4,gpt-5.4
5,pass_5_shard_041,4,gpt-5.4
5,pass_5_shard_042,4,gpt-5.4
5,pass_5_shard_043,4,gpt-5.4
5,pass_5_shard_044,4,gpt-5.4
5,pass_5_shard_045,4,gpt-5.4
5,pass_5_shard_046,4,gpt-5.4
5,pass_5_shard_047,4,gpt-5.4
5,pass_5_shard_048,4,gpt-5.4
5,pass_5_shard_049,4,gpt-5.4
5,pass_5_shard_050,4,gpt-5.4
5,pass_5_shard_051,4,gpt-5.4
5,pass_5_shard_052,4,gpt-5.4
5,pass_5_shard_053,4,gpt-5.4
5,pass_5_shard_054,4,gpt-5.4
5,pass_5_shard_055,4,gpt-5.4
5,pass_5_shard_056,4,gpt-5.4
5,pass_5_shard_057,4,gpt-5.4
5,pass_5_shard_058,4,gpt-5.4
5,pass_5_shard_059,4,gpt-5.4
5,pass_5_shard_060,4,gpt-5.4
5,pass_5_shard_061,4,gpt-5.4
5,pass_5_shard_062,4,gpt-5.4
5,pass_5_shard_063,4,gpt-5.4
5,pass_5_shard_064,4,gpt-5.4
5,pass_5_shard_065,4,gpt-5.4
5,pass_5_shard_066,4,gpt-5.4
5,pass_5_shard_067,4,gpt-5.4
5,pass_5_shard_068,4,gpt-5.4
5,pass_5_shard_069,4,gpt-5.4
5,pass_5_shard_070,4,gpt-5.4
5,pass_5_shard_071,4,gpt-5.4
5,pass_5_shard_072,4,gpt-5.4
5,pass_5_shard_073,4,gpt-5.4
5,pass_5_shard_074,4,gpt-5.4
5,pass_5_shard_075,4,gpt-5.4
5,pass_5_shard_076,4,gpt-5.4
5,pass_5_shard_077,4,gpt-5.4
5,pass_5_shard_078,4,gpt-5.4
5,pass_5_shard_079,4,gpt-5.4
5,pass_5_shard_080,4,gpt-5.4
5,pass_5_shard_081,4,gpt-5.4
5,pass_5_shard_082,4,gpt-5.4
5,pass_5_shard_083,4,gpt-5.4
