entry_id,persona_id,t_index,date,dimension,persisted_label,consensus_label,confidence_tier,consensus_agreement,label_changed,pass_1_label,pass_2_label,pass_3_label,pass_4_label,pass_5_label
013d8101__0,013d8101,0,2025-12-01,achievement,0,0,unanimous,5,false,0,0,0,0,0
013d8101__2,013d8101,2,2025-12-20,achievement,0,0,unanimous,5,false,0,0,0,0,0
019235dc__5,019235dc,5,2025-02-01,achievement,0,0,unanimous,5,false,0,0,0,0,0
019235dc__9,019235dc,9,2025-02-09,achievement,1,0,unanimous,5,true,0,0,0,0,0
01b6f22a__5,01b6f22a,5,2025-04-04,achievement,0,1,bare_majority,3,true,0,1,1,1,0
056f46ad__0,056f46ad,0,2025-12-01,achievement,0,0,unanimous,5,false,0,0,0,0,0
056f46ad__3,056f46ad,3,2025-12-28,achievement,1,1,unanimous,5,false,1,1,1,1,1
06f1d745__0,06f1d745,0,2025-12-04,achievement,0,0,unanimous,5,false,0,0,0,0,0
06f1d745__4,06f1d745,4,2025-12-10,achievement,0,0,unanimous,5,false,0,0,0,0,0
075f8fdb__0,075f8fdb,0,2025-01-07,achievement,0,0,unanimous,5,false,0,0,0,0,0
08c7f073__4,08c7f073,4,2025-10-17,achievement,0,0,unanimous,5,false,0,0,0,0,0
08c7f073__5,08c7f073,5,2025-10-20,achievement,0,0,unanimous,5,false,0,0,0,0,0
0a2fe15c__0,0a2fe15c,0,2025-12-01,achievement,0,0,unanimous,5,false,0,0,0,0,0
0ad04582__1,0ad04582,1,2025-12-06,achievement,0,0,unanimous,5,false,0,0,0,0,0
0d272008__2,0d272008,2,2025-12-09,achievement,0,0,unanimous,5,false,0,0,0,0,0
0d272008__5,0d272008,5,2025-12-19,achievement,0,0,bare_majority,3,false,1,0,0,1,0
0d42f985__3,0d42f985,3,2025-08-25,achievement,1,1,unanimous,5,false,1,1,1,1,1
0e9a45e9__0,0e9a45e9,0,2025-12-01,achievement,0,0,unanimous,5,false,0,0,0,0,0
0e9a45e9__1,0e9a45e9,1,2025-12-10,achievement,0,0,unanimous,5,false,0,0,0,0,0
110fcd4f__1,110fcd4f,1,2025-06-25,achievement,0,0,unanimous,5,false,0,0,0,0,0
110fcd4f__2,110fcd4f,2,2025-06-28,achievement,1,-1,bare_majority,2,true,-1,-1,0,0,1
11a31f12__5,11a31f12,5,2025-08-13,achievement,0,0,unanimous,5,false,0,0,0,0,0
11de77e8__4,11de77e8,4,2025-09-12,achievement,0,0,unanimous,5,false,0,0,0,0,0
127aefff__4,127aefff,4,2025-06-14,achievement,0,0,unanimous,5,false,0,0,0,0,0
1496159d__1,1496159d,1,2025-07-11,achievement,0,0,unanimous,5,false,0,0,0,0,0
15f8d4b9__2,15f8d4b9,2,2025-08-25,achievement,1,1,bare_majority,3,false,0,1,0,1,1
15f8d4b9__3,15f8d4b9,3,2025-08-26,achievement,0,0,unanimous,5,false,0,0,0,0,0
1628bd07__4,1628bd07,4,2025-06-01,achievement,0,0,unanimous,5,false,0,0,0,0,0
18415364__0,18415364,0,2025-01-05,achievement,0,0,unanimous,5,false,0,0,0,0,0
18415364__1,18415364,1,2025-01-06,achievement,0,0,unanimous,5,false,0,0,0,0,0
1ae9b1c1__0,1ae9b1c1,0,2025-12-26,achievement,0,0,unanimous,5,false,0,0,0,0,0
1b8b7276__0,1b8b7276,0,2025-07-05,achievement,0,0,strong,4,false,0,0,0,1,0
1b8b7276__5,1b8b7276,5,2025-07-31,achievement,1,1,unanimous,5,false,1,1,1,1,1
1d529c71__2,1d529c71,2,2025-04-03,achievement,0,0,unanimous,5,false,0,0,0,0,0
1ed90155__0,1ed90155,0,2025-12-08,achievement,1,0,strong,4,true,1,0,0,0,0
1ed90155__2,1ed90155,2,2025-12-12,achievement,1,1,unanimous,5,false,1,1,1,1,1
1ed90155__4,1ed90155,4,2025-12-17,achievement,1,1,unanimous,5,false,1,1,1,1,1
1f86f569__2,1f86f569,2,2025-12-06,achievement,0,0,unanimous,5,false,0,0,0,0,0
20730018__0,20730018,0,2025-06-02,achievement,0,0,unanimous,5,false,0,0,0,0,0
22b117be__2,22b117be,2,2025-04-30,achievement,1,0,strong,4,true,0,1,0,0,0
22b117be__11,22b117be,11,2025-05-30,achievement,1,1,unanimous,5,false,1,1,1,1,1
23d101f8__4,23d101f8,4,2025-08-20,achievement,0,0,unanimous,5,false,0,0,0,0,0
2719f938__0,2719f938,0,2025-07-04,achievement,1,1,unanimous,5,false,1,1,1,1,1
2719f938__5,2719f938,5,2025-07-22,achievement,0,0,unanimous,5,false,0,0,0,0,0
2d928d8a__0,2d928d8a,0,2025-02-07,achievement,0,0,unanimous,5,false,0,0,0,0,0
2d928d8a__7,2d928d8a,7,2025-03-08,achievement,0,0,unanimous,5,false,0,0,0,0,0
2da4f100__0,2da4f100,0,2025-01-23,achievement,1,1,unanimous,5,false,1,1,1,1,1
2e6270bb__1,2e6270bb,1,2025-12-13,achievement,1,1,unanimous,5,false,1,1,1,1,1
344ea8f7__0,344ea8f7,0,2025-11-07,achievement,0,1,bare_majority,3,true,0,1,1,1,-1
3a517a79__0,3a517a79,0,2025-12-22,achievement,0,0,unanimous,5,false,0,0,0,0,0
013d8101__0,013d8101,0,2025-12-01,benevolence,0,0,unanimous,5,false,0,0,0,0,0
013d8101__2,013d8101,2,2025-12-20,benevolence,0,0,unanimous,5,false,0,0,0,0,0
019235dc__5,019235dc,5,2025-02-01,benevolence,1,1,unanimous,5,false,1,1,1,1,1
019235dc__9,019235dc,9,2025-02-09,benevolence,1,1,unanimous,5,false,1,1,1,1,1
01b6f22a__5,01b6f22a,5,2025-04-04,benevolence,0,0,unanimous,5,false,0,0,0,0,0
056f46ad__0,056f46ad,0,2025-12-01,benevolence,1,1,unanimous,5,false,1,1,1,1,1
056f46ad__3,056f46ad,3,2025-12-28,benevolence,1,0,bare_majority,3,true,0,1,0,1,0
06f1d745__0,06f1d745,0,2025-12-04,benevolence,0,0,bare_majority,3,false,1,0,0,1,0
06f1d745__4,06f1d745,4,2025-12-10,benevolence,0,0,unanimous,5,false,0,0,0,0,0
075f8fdb__0,075f8fdb,0,2025-01-07,benevolence,0,0,unanimous,5,false,0,0,0,0,0
08c7f073__4,08c7f073,4,2025-10-17,benevolence,0,1,bare_majority,3,true,0,1,1,1,0
08c7f073__5,08c7f073,5,2025-10-20,benevolence,0,0,unanimous,5,false,0,0,0,0,0
0a2fe15c__0,0a2fe15c,0,2025-12-01,benevolence,1,1,unanimous,5,false,1,1,1,1,1
0ad04582__1,0ad04582,1,2025-12-06,benevolence,-1,-1,strong,4,false,1,-1,-1,-1,-1
0d272008__2,0d272008,2,2025-12-09,benevolence,0,0,unanimous,5,false,0,0,0,0,0
0d272008__5,0d272008,5,2025-12-19,benevolence,0,0,unanimous,5,false,0,0,0,0,0
0d42f985__3,0d42f985,3,2025-08-25,benevolence,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1
0e9a45e9__0,0e9a45e9,0,2025-12-01,benevolence,0,0,unanimous,5,false,0,0,0,0,0
0e9a45e9__1,0e9a45e9,1,2025-12-10,benevolence,0,0,unanimous,5,false,0,0,0,0,0
110fcd4f__1,110fcd4f,1,2025-06-25,benevolence,-1,0,unanimous,5,true,0,0,0,0,0
110fcd4f__2,110fcd4f,2,2025-06-28,benevolence,-1,0,unanimous,5,true,0,0,0,0,0
11a31f12__5,11a31f12,5,2025-08-13,benevolence,1,1,unanimous,5,false,1,1,1,1,1
11de77e8__4,11de77e8,4,2025-09-12,benevolence,0,0,strong,4,false,0,1,0,0,0
127aefff__4,127aefff,4,2025-06-14,benevolence,0,0,unanimous,5,false,0,0,0,0,0
1496159d__1,1496159d,1,2025-07-11,benevolence,0,0,unanimous,5,false,0,0,0,0,0
15f8d4b9__2,15f8d4b9,2,2025-08-25,benevolence,0,0,unanimous,5,false,0,0,0,0,0
15f8d4b9__3,15f8d4b9,3,2025-08-26,benevolence,1,1,unanimous,5,false,1,1,1,1,1
1628bd07__4,1628bd07,4,2025-06-01,benevolence,0,0,unanimous,5,false,0,0,0,0,0
18415364__0,18415364,0,2025-01-05,benevolence,1,1,unanimous,5,false,1,1,1,1,1
18415364__1,18415364,1,2025-01-06,benevolence,1,1,unanimous,5,false,1,1,1,1,1
1ae9b1c1__0,1ae9b1c1,0,2025-12-26,benevolence,0,0,unanimous,5,false,0,0,0,0,0
1b8b7276__0,1b8b7276,0,2025-07-05,benevolence,0,0,unanimous,5,false,0,0,0,0,0
1b8b7276__5,1b8b7276,5,2025-07-31,benevolence,1,1,bare_majority,3,false,1,1,0,1,0
1d529c71__2,1d529c71,2,2025-04-03,benevolence,0,1,strong,4,true,0,1,1,1,1
1ed90155__0,1ed90155,0,2025-12-08,benevolence,0,0,unanimous,5,false,0,0,0,0,0
1ed90155__2,1ed90155,2,2025-12-12,benevolence,0,0,unanimous,5,false,0,0,0,0,0
1ed90155__4,1ed90155,4,2025-12-17,benevolence,0,0,unanimous,5,false,0,0,0,0,0
1f86f569__2,1f86f569,2,2025-12-06,benevolence,1,1,strong,4,false,1,1,1,0,1
20730018__0,20730018,0,2025-06-02,benevolence,0,1,unanimous,5,true,1,1,1,1,1
22b117be__2,22b117be,2,2025-04-30,benevolence,0,0,unanimous,5,false,0,0,0,0,0
22b117be__11,22b117be,11,2025-05-30,benevolence,0,0,unanimous,5,false,0,0,0,0,0
23d101f8__4,23d101f8,4,2025-08-20,benevolence,1,1,unanimous,5,false,1,1,1,1,1
2719f938__0,2719f938,0,2025-07-04,benevolence,0,0,unanimous,5,false,0,0,0,0,0
2719f938__5,2719f938,5,2025-07-22,benevolence,1,0,unanimous,5,true,0,0,0,0,0
2d928d8a__0,2d928d8a,0,2025-02-07,benevolence,0,0,unanimous,5,false,0,0,0,0,0
2d928d8a__7,2d928d8a,7,2025-03-08,benevolence,0,0,unanimous,5,false,0,0,0,0,0
2da4f100__0,2da4f100,0,2025-01-23,benevolence,0,0,unanimous,5,false,0,0,0,0,0
2e6270bb__1,2e6270bb,1,2025-12-13,benevolence,1,1,unanimous,5,false,1,1,1,1,1
344ea8f7__0,344ea8f7,0,2025-11-07,benevolence,0,0,unanimous,5,false,0,0,0,0,0
3a517a79__0,3a517a79,0,2025-12-22,benevolence,0,0,unanimous,5,false,0,0,0,0,0
013d8101__0,013d8101,0,2025-12-01,conformity,1,1,unanimous,5,false,1,1,1,1,1
013d8101__2,013d8101,2,2025-12-20,conformity,0,0,unanimous,5,false,0,0,0,0,0
019235dc__5,019235dc,5,2025-02-01,conformity,0,0,unanimous,5,false,0,0,0,0,0
019235dc__9,019235dc,9,2025-02-09,conformity,0,0,unanimous,5,false,0,0,0,0,0
01b6f22a__5,01b6f22a,5,2025-04-04,conformity,0,0,unanimous,5,false,0,0,0,0,0
056f46ad__0,056f46ad,0,2025-12-01,conformity,1,1,unanimous,5,false,1,1,1,1,1
056f46ad__3,056f46ad,3,2025-12-28,conformity,0,0,unanimous,5,false,0,0,0,0,0
06f1d745__0,06f1d745,0,2025-12-04,conformity,0,0,unanimous,5,false,0,0,0,0,0
06f1d745__4,06f1d745,4,2025-12-10,conformity,0,0,unanimous,5,false,0,0,0,0,0
075f8fdb__0,075f8fdb,0,2025-01-07,conformity,-1,-1,strong,4,false,0,-1,-1,-1,-1
08c7f073__4,08c7f073,4,2025-10-17,conformity,0,0,unanimous,5,false,0,0,0,0,0
08c7f073__5,08c7f073,5,2025-10-20,conformity,0,0,unanimous,5,false,0,0,0,0,0
0a2fe15c__0,0a2fe15c,0,2025-12-01,conformity,0,0,unanimous,5,false,0,0,0,0,0
0ad04582__1,0ad04582,1,2025-12-06,conformity,0,0,unanimous,5,false,0,0,0,0,0
0d272008__2,0d272008,2,2025-12-09,conformity,0,0,strong,4,false,-1,0,0,0,0
0d272008__5,0d272008,5,2025-12-19,conformity,0,0,unanimous,5,false,0,0,0,0,0
0d42f985__3,0d42f985,3,2025-08-25,conformity,0,0,unanimous,5,false,0,0,0,0,0
0e9a45e9__0,0e9a45e9,0,2025-12-01,conformity,0,0,unanimous,5,false,0,0,0,0,0
0e9a45e9__1,0e9a45e9,1,2025-12-10,conformity,0,0,unanimous,5,false,0,0,0,0,0
110fcd4f__1,110fcd4f,1,2025-06-25,conformity,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1
110fcd4f__2,110fcd4f,2,2025-06-28,conformity,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1
11a31f12__5,11a31f12,5,2025-08-13,conformity,0,0,unanimous,5,false,0,0,0,0,0
11de77e8__4,11de77e8,4,2025-09-12,conformity,0,0,unanimous,5,false,0,0,0,0,0
127aefff__4,127aefff,4,2025-06-14,conformity,1,1,unanimous,5,false,1,1,1,1,1
1496159d__1,1496159d,1,2025-07-11,conformity,0,0,unanimous,5,false,0,0,0,0,0
15f8d4b9__2,15f8d4b9,2,2025-08-25,conformity,-1,0,bare_majority,3,true,-1,-1,0,0,0
15f8d4b9__3,15f8d4b9,3,2025-08-26,conformity,0,0,unanimous,5,false,0,0,0,0,0
1628bd07__4,1628bd07,4,2025-06-01,conformity,0,0,unanimous,5,false,0,0,0,0,0
18415364__0,18415364,0,2025-01-05,conformity,0,0,unanimous,5,false,0,0,0,0,0
18415364__1,18415364,1,2025-01-06,conformity,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1
1ae9b1c1__0,1ae9b1c1,0,2025-12-26,conformity,-1,0,bare_majority,3,true,-1,0,0,0,-1
1b8b7276__0,1b8b7276,0,2025-07-05,conformity,1,1,strong,4,false,1,1,1,0,1
1b8b7276__5,1b8b7276,5,2025-07-31,conformity,0,0,unanimous,5,false,0,0,0,0,0
1d529c71__2,1d529c71,2,2025-04-03,conformity,1,1,unanimous,5,false,1,1,1,1,1
1ed90155__0,1ed90155,0,2025-12-08,conformity,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1
1ed90155__2,1ed90155,2,2025-12-12,conformity,0,0,unanimous,5,false,0,0,0,0,0
1ed90155__4,1ed90155,4,2025-12-17,conformity,0,0,unanimous,5,false,0,0,0,0,0
1f86f569__2,1f86f569,2,2025-12-06,conformity,1,1,unanimous,5,false,1,1,1,1,1
20730018__0,20730018,0,2025-06-02,conformity,0,0,unanimous,5,false,0,0,0,0,0
22b117be__2,22b117be,2,2025-04-30,conformity,1,1,unanimous,5,false,1,1,1,1,1
22b117be__11,22b117be,11,2025-05-30,conformity,0,0,strong,4,false,0,1,0,0,0
23d101f8__4,23d101f8,4,2025-08-20,conformity,0,0,unanimous,5,false,0,0,0,0,0
2719f938__0,2719f938,0,2025-07-04,conformity,-1,-1,bare_majority,3,false,-1,0,-1,0,-1
2719f938__5,2719f938,5,2025-07-22,conformity,0,0,unanimous,5,false,0,0,0,0,0
2d928d8a__0,2d928d8a,0,2025-02-07,conformity,0,0,unanimous,5,false,0,0,0,0,0
2d928d8a__7,2d928d8a,7,2025-03-08,conformity,0,0,unanimous,5,false,0,0,0,0,0
2da4f100__0,2da4f100,0,2025-01-23,conformity,0,0,unanimous,5,false,0,0,0,0,0
2e6270bb__1,2e6270bb,1,2025-12-13,conformity,1,1,unanimous,5,false,1,1,1,1,1
344ea8f7__0,344ea8f7,0,2025-11-07,conformity,0,0,unanimous,5,false,0,0,0,0,0
3a517a79__0,3a517a79,0,2025-12-22,conformity,0,0,unanimous,5,false,0,0,0,0,0
013d8101__0,013d8101,0,2025-12-01,hedonism,0,0,unanimous,5,false,0,0,0,0,0
013d8101__2,013d8101,2,2025-12-20,hedonism,0,0,unanimous,5,false,0,0,0,0,0
019235dc__5,019235dc,5,2025-02-01,hedonism,0,0,unanimous,5,false,0,0,0,0,0
019235dc__9,019235dc,9,2025-02-09,hedonism,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1
01b6f22a__5,01b6f22a,5,2025-04-04,hedonism,0,0,unanimous,5,false,0,0,0,0,0
056f46ad__0,056f46ad,0,2025-12-01,hedonism,1,1,bare_majority,3,false,0,1,0,1,1
056f46ad__3,056f46ad,3,2025-12-28,hedonism,0,0,unanimous,5,false,0,0,0,0,0
06f1d745__0,06f1d745,0,2025-12-04,hedonism,0,0,unanimous,5,false,0,0,0,0,0
06f1d745__4,06f1d745,4,2025-12-10,hedonism,0,0,unanimous,5,false,0,0,0,0,0
075f8fdb__0,075f8fdb,0,2025-01-07,hedonism,0,0,unanimous,5,false,0,0,0,0,0
08c7f073__4,08c7f073,4,2025-10-17,hedonism,0,0,unanimous,5,false,0,0,0,0,0
08c7f073__5,08c7f073,5,2025-10-20,hedonism,0,0,unanimous,5,false,0,0,0,0,0
0a2fe15c__0,0a2fe15c,0,2025-12-01,hedonism,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1
0ad04582__1,0ad04582,1,2025-12-06,hedonism,0,0,unanimous,5,false,0,0,0,0,0
0d272008__2,0d272008,2,2025-12-09,hedonism,0,0,unanimous,5,false,0,0,0,0,0
0d272008__5,0d272008,5,2025-12-19,hedonism,1,1,unanimous,5,false,1,1,1,1,1
0d42f985__3,0d42f985,3,2025-08-25,hedonism,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1
0e9a45e9__0,0e9a45e9,0,2025-12-01,hedonism,0,0,unanimous,5,false,0,0,0,0,0
0e9a45e9__1,0e9a45e9,1,2025-12-10,hedonism,1,1,unanimous,5,false,1,1,1,1,1
110fcd4f__1,110fcd4f,1,2025-06-25,hedonism,0,0,unanimous,5,false,0,0,0,0,0
110fcd4f__2,110fcd4f,2,2025-06-28,hedonism,-1,-1,bare_majority,3,false,0,0,-1,-1,-1
11a31f12__5,11a31f12,5,2025-08-13,hedonism,-1,0,bare_majority,3,true,0,0,0,-1,-1
11de77e8__4,11de77e8,4,2025-09-12,hedonism,0,0,unanimous,5,false,0,0,0,0,0
127aefff__4,127aefff,4,2025-06-14,hedonism,0,0,unanimous,5,false,0,0,0,0,0
1496159d__1,1496159d,1,2025-07-11,hedonism,0,0,unanimous,5,false,0,0,0,0,0
15f8d4b9__2,15f8d4b9,2,2025-08-25,hedonism,0,0,bare_majority,3,false,0,0,-1,0,-1
15f8d4b9__3,15f8d4b9,3,2025-08-26,hedonism,0,0,unanimous,5,false,0,0,0,0,0
1628bd07__4,1628bd07,4,2025-06-01,hedonism,1,0,strong,4,true,0,1,0,0,0
18415364__0,18415364,0,2025-01-05,hedonism,0,0,unanimous,5,false,0,0,0,0,0
18415364__1,18415364,1,2025-01-06,hedonism,-1,-1,strong,4,false,-1,-1,-1,0,-1
1ae9b1c1__0,1ae9b1c1,0,2025-12-26,hedonism,0,0,unanimous,5,false,0,0,0,0,0
1b8b7276__0,1b8b7276,0,2025-07-05,hedonism,0,0,unanimous,5,false,0,0,0,0,0
1b8b7276__5,1b8b7276,5,2025-07-31,hedonism,1,0,strong,4,true,1,0,0,0,0
1d529c71__2,1d529c71,2,2025-04-03,hedonism,0,0,unanimous,5,false,0,0,0,0,0
1ed90155__0,1ed90155,0,2025-12-08,hedonism,0,0,unanimous,5,false,0,0,0,0,0
1ed90155__2,1ed90155,2,2025-12-12,hedonism,0,0,unanimous,5,false,0,0,0,0,0
1ed90155__4,1ed90155,4,2025-12-17,hedonism,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1
1f86f569__2,1f86f569,2,2025-12-06,hedonism,0,0,unanimous,5,false,0,0,0,0,0
20730018__0,20730018,0,2025-06-02,hedonism,0,0,unanimous,5,false,0,0,0,0,0
22b117be__2,22b117be,2,2025-04-30,hedonism,0,0,unanimous,5,false,0,0,0,0,0
22b117be__11,22b117be,11,2025-05-30,hedonism,0,0,unanimous,5,false,0,0,0,0,0
23d101f8__4,23d101f8,4,2025-08-20,hedonism,0,0,unanimous,5,false,0,0,0,0,0
2719f938__0,2719f938,0,2025-07-04,hedonism,1,1,unanimous,5,false,1,1,1,1,1
2719f938__5,2719f938,5,2025-07-22,hedonism,1,1,unanimous,5,false,1,1,1,1,1
2d928d8a__0,2d928d8a,0,2025-02-07,hedonism,0,0,unanimous,5,false,0,0,0,0,0
2d928d8a__7,2d928d8a,7,2025-03-08,hedonism,1,1,unanimous,5,false,1,1,1,1,1
2da4f100__0,2da4f100,0,2025-01-23,hedonism,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1
2e6270bb__1,2e6270bb,1,2025-12-13,hedonism,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1
344ea8f7__0,344ea8f7,0,2025-11-07,hedonism,1,-1,strong,4,true,-1,-1,-1,-1,1
3a517a79__0,3a517a79,0,2025-12-22,hedonism,0,0,unanimous,5,false,0,0,0,0,0
013d8101__0,013d8101,0,2025-12-01,power,0,0,unanimous,5,false,0,0,0,0,0
013d8101__2,013d8101,2,2025-12-20,power,0,0,unanimous,5,false,0,0,0,0,0
019235dc__5,019235dc,5,2025-02-01,power,0,0,unanimous,5,false,0,0,0,0,0
019235dc__9,019235dc,9,2025-02-09,power,0,0,unanimous,5,false,0,0,0,0,0
01b6f22a__5,01b6f22a,5,2025-04-04,power,1,1,unanimous,5,false,1,1,1,1,1
056f46ad__0,056f46ad,0,2025-12-01,power,0,0,unanimous,5,false,0,0,0,0,0
056f46ad__3,056f46ad,3,2025-12-28,power,0,0,unanimous,5,false,0,0,0,0,0
06f1d745__0,06f1d745,0,2025-12-04,power,0,0,unanimous,5,false,0,0,0,0,0
06f1d745__4,06f1d745,4,2025-12-10,power,0,0,unanimous,5,false,0,0,0,0,0
075f8fdb__0,075f8fdb,0,2025-01-07,power,0,0,unanimous,5,false,0,0,0,0,0
08c7f073__4,08c7f073,4,2025-10-17,power,0,0,unanimous,5,false,0,0,0,0,0
08c7f073__5,08c7f073,5,2025-10-20,power,0,0,unanimous,5,false,0,0,0,0,0
0a2fe15c__0,0a2fe15c,0,2025-12-01,power,0,0,unanimous,5,false,0,0,0,0,0
0ad04582__1,0ad04582,1,2025-12-06,power,0,0,unanimous,5,false,0,0,0,0,0
0d272008__2,0d272008,2,2025-12-09,power,0,0,unanimous,5,false,0,0,0,0,0
0d272008__5,0d272008,5,2025-12-19,power,0,0,unanimous,5,false,0,0,0,0,0
0d42f985__3,0d42f985,3,2025-08-25,power,0,0,unanimous,5,false,0,0,0,0,0
0e9a45e9__0,0e9a45e9,0,2025-12-01,power,0,0,unanimous,5,false,0,0,0,0,0
0e9a45e9__1,0e9a45e9,1,2025-12-10,power,0,0,unanimous,5,false,0,0,0,0,0
110fcd4f__1,110fcd4f,1,2025-06-25,power,-1,0,bare_majority,3,true,0,0,0,-1,-1
110fcd4f__2,110fcd4f,2,2025-06-28,power,0,0,unanimous,5,false,0,0,0,0,0
11a31f12__5,11a31f12,5,2025-08-13,power,0,0,unanimous,5,false,0,0,0,0,0
11de77e8__4,11de77e8,4,2025-09-12,power,0,0,unanimous,5,false,0,0,0,0,0
127aefff__4,127aefff,4,2025-06-14,power,0,0,unanimous,5,false,0,0,0,0,0
1496159d__1,1496159d,1,2025-07-11,power,0,0,unanimous,5,false,0,0,0,0,0
15f8d4b9__2,15f8d4b9,2,2025-08-25,power,0,0,unanimous,5,false,0,0,0,0,0
15f8d4b9__3,15f8d4b9,3,2025-08-26,power,0,0,unanimous,5,false,0,0,0,0,0
1628bd07__4,1628bd07,4,2025-06-01,power,0,0,unanimous,5,false,0,0,0,0,0
18415364__0,18415364,0,2025-01-05,power,0,0,unanimous,5,false,0,0,0,0,0
18415364__1,18415364,1,2025-01-06,power,0,0,unanimous,5,false,0,0,0,0,0
1ae9b1c1__0,1ae9b1c1,0,2025-12-26,power,0,0,unanimous,5,false,0,0,0,0,0
1b8b7276__0,1b8b7276,0,2025-07-05,power,0,0,unanimous,5,false,0,0,0,0,0
1b8b7276__5,1b8b7276,5,2025-07-31,power,0,0,unanimous,5,false,0,0,0,0,0
1d529c71__2,1d529c71,2,2025-04-03,power,0,0,unanimous,5,false,0,0,0,0,0
1ed90155__0,1ed90155,0,2025-12-08,power,0,0,unanimous,5,false,0,0,0,0,0
1ed90155__2,1ed90155,2,2025-12-12,power,0,0,unanimous,5,false,0,0,0,0,0
1ed90155__4,1ed90155,4,2025-12-17,power,0,0,unanimous,5,false,0,0,0,0,0
1f86f569__2,1f86f569,2,2025-12-06,power,0,0,unanimous,5,false,0,0,0,0,0
20730018__0,20730018,0,2025-06-02,power,0,0,unanimous,5,false,0,0,0,0,0
22b117be__2,22b117be,2,2025-04-30,power,-1,-1,unanimous,5,false,-1,-1,-1,-1,-1
22b117be__11,22b117be,11,2025-05-30,power,0,0,unanimous,5,false,0,0,0,0,0
23d101f8__4,23d101f8,4,2025-08-20,power,0,0,unanimous,5,false,0,0,0,0,0
2719f938__0,2719f938,0,2025-07-04,power,0,0,unanimous,5,false,0,0,0,0,0
2719f938__5,2719f938,5,2025-07-22,power,0,0,unanimous,5,false,0,0,0,0,0
2d928d8a__0,2d928d8a,0,2025-02-07,power,0,0,unanimous,5,false,0,0,0,0,0
2d928d8a__7,2d928d8a,7,2025-03-08,power,0,0,unanimous,5,false,0,0,0,0,0
2da4f100__0,2da4f100,0,2025-01-23,power,0,0,unanimous,5,false,0,0,0,0,0
2e6270bb__1,2e6270bb,1,2025-12-13,power,0,0,unanimous,5,false,0,0,0,0,0
344ea8f7__0,344ea8f7,0,2025-11-07,power,0,0,unanimous,5,false,0,0,0,0,0
3a517a79__0,3a517a79,0,2025-12-22,power,0,0,unanimous,5,false,0,0,0,0,0
013d8101__0,013d8101,0,2025-12-01,security,1,1,unanimous,5,false,1,1,1,1,1
