pass_index,shard_id,attempt,worker_model,completion_timestamp,prompt_sha256,raw_result_sha256,score_only_sha256,non_zero_score_count,non_zero_rationale_count,non_zero_rationale_coverage
1,pass_1_shard_001,1,gpt-5.4,2026-03-20T06:28:45.583333+00:00,47360ba88d453cfe82f6493cf71fbbf7b5c7df3bb0db521d1d0f3153c32a49e7,6278eec9594836d4ec756ea5d0ea80b608492453492086df8d28b98f9719d6ee,202567a4cc7a4cdade11b20b2f28b181fbc24e45d1e65e75038f0097a69fe3fe,17,17,1.0
1,pass_1_shard_002,1,gpt-5.4,2026-03-20T06:26:35.891943+00:00,06980b149d9fa7d644174f78a5fccaf9963dee8165411561da16582771b98ef1,5b277e7f812ed628d3c8eb70b8d1c76a349fa888b578cc558f8fe359953cc24e,b038f79d25b0af200940cd284ae12860efe2929bf44431ffffbc46ec59dd6002,17,17,1.0
1,pass_1_shard_003,1,gpt-5.4,2026-03-20T06:28:00.320967+00:00,5ce576b3368b345ae5c45a760b35afc29c75d4b65a584f0388428222ffef76c3,bcb4cf07f003c8847fc25ddec08340033d8d6857cedd950b33865c2000323455,502d030fd70d9d229a9db91e511320d656e4c6043f1baccf4a8c988306d35bce,15,15,1.0
1,pass_1_shard_004,1,gpt-5.4,2026-03-20T06:28:45.643701+00:00,8929a6cdfa8ba8abe6e5f25ebee343a74e89c7b525bc0d90e947c751539a1b56,05850e9e78aedd28e424d48653d45ffe8a5ee1fac30da9552629893f0208df7f,7b0290107f7a84b0015925f66b35ea156080447e05eed3e4b9566cf897a842a0,17,17,1.0
1,pass_1_shard_005,1,gpt-5.4,2026-03-20T06:29:21.706506+00:00,f5d9a87368734e25ef2694c9f23e09509cb8b845fe40273eafea7162aba88e8e,719c9ff1e760052a7ef78271f783371e3f3d9373d5d7f633d944257fe36e7cf1,abf4312de9d4cbe78facbdbd610719e13a7d9d536502304229b08c5342233ddd,30,30,1.0
1,pass_1_shard_006,1,gpt-5.4,2026-03-20T06:28:00.321089+00:00,b7f66afec5cbe727a6d678e692789ca68509b579c945552672974deae53932af,cc6f0565edf451340ffc995fd6d7b12dc800f528e6e77fae3dd2e5e8358af6f0,5a49f1560d0619469bd0eedc3f1d07214d42c3856e65949c1d5a398ced97cad5,18,18,1.0
1,pass_1_shard_007,1,gpt-5.4,2026-03-20T06:25:02.322931+00:00,c3174412ab5bf0c299918999a2d241af74a7a30122d2b5acef905108e5bc49a2,92d4e7f262acb91248baf315c0ddbfac4df60241a741dfdaaf9394a8bc475429,f58aa93d3c79f2d24f0839c6edf1fee957d28f60f0544e080aee0364ec16129e,10,10,1.0
2,pass_2_shard_001,1,gpt-5.4,2026-03-20T06:33:11.667722+00:00,e185b3c891baf8485cc92eea444dfc0e1a597a80b66648842960aa31205eeddd,f9757951b81f029e204e6d2e2e9b3ca6a64fe59feab6e0553be6b2ba556c05f5,d09398a8c3da0dfbd69ff47013099c983b01d192a6b673d9ac0867cc2c6f8ffb,20,20,1.0
2,pass_2_shard_002,1,gpt-5.4,2026-03-20T06:37:21.128753+00:00,784dccb463e6a73b08984d6455a06c7e0219998686ab2168d66a803c95471c78,8ffa9b9e40aaee0e26f8065ad610c211d0ca0711a148a91c98060c6e819dafeb,cb73d7cc8023f616a9658d41cb5a80effc27993bf9272cdfc3afedb17c092367,19,19,1.0
2,pass_2_shard_003,1,gpt-5.4,2026-03-20T06:37:21.128941+00:00,0af855f66229396265c4cde523d1f1c8d35007736bb4c0e4adc27ac016af12fe,58dfc06f13435162e729dc776963db5ebc86c92bde1da69f1091e1b003fba402,c01819010d977e633b4ab786a44eac8cabb6a87e2820b17d6da1d961fd55ed94,15,15,1.0
2,pass_2_shard_004,1,gpt-5.4,2026-03-20T06:37:21.129040+00:00,339e70c750c9985ee7d971a879ed7e57d3508dabf6eb972c2397d9dab85e98a3,69efcd66db48a87c93ab39d5b4bebba84035c8b978392a2ced0f81b72e7d60bb,2db3dfd8ec5b80988bb203ef796ccb061deb638b10b828f64424db3ba53493b4,19,19,1.0
2,pass_2_shard_005,1,gpt-5.4,2026-03-20T06:37:21.129111+00:00,2fb61b1ce95a6d0f08516ae1f8d4407beb80a542731811a2c9447fff09e80080,521d7999351f87daa6136be3d5723e29d540f07bf2cade34ab92cbea657fd636,003276bde495e4abb01ca2a30a67460fb4e1a51ef62d02f12e97700b4e584293,28,28,1.0
2,pass_2_shard_006,1,gpt-5.4,2026-03-20T06:32:08.179924+00:00,16553178505ec1ded94508d0d4897f77903d48e0758bca9a8f8448b64cacd95c,c09e6405ede251710fd4d1f0b8568ca9952eeb2d64a6f02477b4d589e71942d7,b64f8375aeeff51da0a633e40f85baa0eae549f1638c9d3148c6de469b895439,18,18,1.0
2,pass_2_shard_007,1,gpt-5.4,2026-03-20T06:39:26.980257+00:00,71ee551fc43b09cec34115afa2b562b0e3ae81898e35edb41756aacf320a4eba,67b0a737cbec102eb15ad3a02cc450121c8cdd6999850ee43b23f5338ee59f07,cf4cdeccfc0da024bb4df79b0088ec930fcb42954bfc5df40de74b1699727156,11,11,1.0
3,pass_3_shard_001,1,gpt-5.4,2026-03-20T06:41:58.971379+00:00,9d8738ca42426992fad65bacb72f3229d5cb7fd8bb67f7f0124a62145fd07ba7,faf7059f12da544ca223f340fdb3922974fbaf062a3e61915ccb4adb707e945a,584d4a445a6b821366243a2e79c51de906b3dbb5d8562a25e767a86029a09da9,17,17,1.0
3,pass_3_shard_002,1,gpt-5.4,2026-03-20T06:42:42.945270+00:00,a04119310afa1d8d8b3f8460bfeffe2ce9bceb0865e227f1a68514f7e87df50b,07029ebf61141c4e7a06e5446f5abbc799352c01d4e8dd7933b61d1ed662c671,cb73d7cc8023f616a9658d41cb5a80effc27993bf9272cdfc3afedb17c092367,19,19,1.0
3,pass_3_shard_003,1,gpt-5.4,2026-03-20T06:43:10.847192+00:00,593b5998939a4989e2f133327ce13f4a4168195a069e7484b4521c13d7f6a023,b10c0733497c5e77af39d46e126416bd65830c85ac02433d317e0b3355628c58,f2b2941b493a6b089927da1a39d27bd0045f47e2fcb67bd92a81e04a3705ff52,17,17,1.0
3,pass_3_shard_004,1,gpt-5.4,2026-03-20T06:44:17.765067+00:00,1d91c2c24b60c0ee065c0634e529a2893b47a382cc77b11cbbbb82dd322d0053,8dd46598fc1c4a37bddf4ca1bb6b9255620f753ecc72b09eedd150a8f1a5e5df,a785d8ba24e8089cf61a5812e6c151467ff70b00f3c099aa54bc22d913978c5c,20,20,1.0
3,pass_3_shard_005,1,gpt-5.4,2026-03-20T06:43:36.148773+00:00,4ae19c1b43181e44753cbb17fdd6351bf2121a0f4e0f754036fc4888c9b02612,3bc711c225aabc7f197b2e530b6ebbb1dc28c96bb3ef12580fb24e07a946e621,bfe04a991b0b79069aacccc6c365ea7cf590563066048e714d29e919ffed0dea,27,27,1.0
3,pass_3_shard_006,1,gpt-5.4,2026-03-20T06:43:56.935352+00:00,dfd4ee0308fb1348a566d0552e3c7e20bba2110e65fe26067f87e702ac075f22,c8caee823a29cf5bb82d782c60d5de0f232fde2c0eeee0b7d3f83b71bdbb1a05,6e3afff174022ac73f57cad95db4a635c0a1511c1113057d629e1fcb4f02b1a6,18,18,1.0
3,pass_3_shard_007,1,gpt-5.4,2026-03-20T06:41:22.414323+00:00,43b244240da20a2b4c78e37cbee457fd21cc8e5dbfc03f8545cf786cdbe1d01f,dfd953b7e162fbb91f65749f9b48975cc39db7ff42cd1e0783918bbed3af8c55,cf4cdeccfc0da024bb4df79b0088ec930fcb42954bfc5df40de74b1699727156,11,11,1.0
4,pass_4_shard_001,1,gpt-5.4,2026-03-20T06:46:52.154139+00:00,4243cf631790954f0c4b133af241eaccc1c1a33521eaec08361f2571fd16b20c,ee7986d68474d94ab7067105e73b3fbd50f8600b151c39244aeb3e91d98dfedd,6c89603d0d3dd587b8095c8494fb665bae1a1e293a9b2e58f404599158a3825c,21,21,1.0
4,pass_4_shard_002,1,gpt-5.4,2026-03-20T06:46:52.154220+00:00,7be9bf169ffce071c2bbb5391d607b6b9109bc188ae4ad84c9973989ad85e4b2,67e1526971682573d0276df06bb6759d940578d5b481573e790ee4ce63e4c0d9,78e3423cfa20e43b244dc7a203e68c1f6232031ea7985780365aa3b4290151f5,20,20,1.0
4,pass_4_shard_003,1,gpt-5.4,2026-03-20T06:47:31.979337+00:00,7c30d52a5db410ebcc47ede40fb37718e3ed032377ae9697035edaeb3af019b0,2d1b2d3d31d03cf13957b9a9b59465b65fbe8ffde8e8427f5c3a2bdfbbd34bee,80e7a1bc7224435dd91460f545462634cff8f2fb06651e01b7842942889bf62b,19,19,1.0
4,pass_4_shard_004,1,gpt-5.4,2026-03-20T06:47:31.979434+00:00,2e349c1c2cfc0aabfd0e0530a89593a63c3eefd118c79055662759a6e2057d70,3070da6c9fac82c2008a0d68fbf60a14dc0ccd6b7cf19d8c86ef591ab277552d,3a55f72a03e20aa7361ceb2fede3904bacdbff4167df6f9c2bb4fefd5c735f3a,17,17,1.0
4,pass_4_shard_005,1,gpt-5.4,2026-03-20T06:48:07.099628+00:00,e24475240f6c71f67f9ed876eb30f0c6b3430e7e0a97553533fbe2e5612caf55,6ce3af85b6012e2593958e296c068b0a307e8ed1fa89e6e15f6ad1bd496e9bcb,957a092e8e2c54da6b7de66faaf5d6cb336ac3af815b4f43cd57ea11be2dce40,21,21,1.0
4,pass_4_shard_006,1,gpt-5.4,2026-03-20T06:45:53.879084+00:00,30548e4d24853c29b0595cccd368ec8d9ccc045ea213b89dccf140305d62e2be,5a6fcf0b0b0d8741abf0c7aa814e5df91e43423d557c2aa1e853305c33d1970f,3b6b5733170c48f8b4027d638f39a05fe6b731bfdc469820e525fa3c7a936426,15,15,1.0
4,pass_4_shard_007,1,gpt-5.4,2026-03-20T06:48:07.099730+00:00,c93b3e71f5514e2d932c303076086fb309068c8fbb78fc5308c0cd773e96744b,9ec257d52922dc6ff94c15d404c79c2aa19e6e866ec93a9efe916daf9f0e5d8e,cf4cdeccfc0da024bb4df79b0088ec930fcb42954bfc5df40de74b1699727156,11,11,1.0
5,pass_5_shard_001,1,gpt-5.4,2026-03-20T06:52:03.354847+00:00,a7745faa3039f1e9e49fa8b984e24fe4275dfc425c40741be6447c2173ea160b,5e7d52d4fd58da63d6610b984ebcd237dd222984647479ea739ea0226266956a,2d792c5378d3c183af7085be4c1fefb0ffb7d59e90446690748580746b2144cf,17,17,1.0
5,pass_5_shard_002,1,gpt-5.4,2026-03-20T06:50:54.575692+00:00,fc8bf38e1fb5249bed059bd96a4b3e52031d7dfbd3ead469fc9f5c529d5e03a9,ad66ac28a584bc9acaecb5971d570d5c3e45d7e17529b6ab2fc303b6d03446c7,30b0b7f537173978db473efb11ff68268e16720f520471d1e21c91334357b635,18,18,1.0
5,pass_5_shard_003,1,gpt-5.4,2026-03-20T06:53:42.914568+00:00,d8289ab420e685ad537361f3f6c6e9ec35248210199c61c4ff26e81923dbeb6d,35193b6905466986f3ecf7a9e3f0b909f022663f975ddd5d1429d7a5d8c8ffb4,13559ebee06929435383318eebd49cf9ae423b9762b97bbc45c1d65c8d0d8be8,19,19,1.0
5,pass_5_shard_004,1,gpt-5.4,2026-03-20T06:53:42.914653+00:00,34a3835bcb184d5ff858798b9584523a3835f6ddbaaeaf6431b54ccf27a47ca7,c8d179be00d0aece0060fd23bd3745565f102670bc597e58dd0f5d2c853703d4,24819fa97b62787235eb2dc3708a143f791a0ee08ae72e8fa1d65a79aea1f978,21,21,1.0
5,pass_5_shard_005,1,gpt-5.4,2026-03-20T06:54:21.984707+00:00,5ef5b187d99ccf26ab3cad3014578b7b2b254811e11355187c523713d17a7075,47140c31c05ce7e71b7e4f01f0bc51b1b47e0fbd5eb11e2958602dc0889b81ed,d6b03c2bc403eb5d553f758d110e2d7e3c9ea04aeba29dc0ba619b8ea8dccfde,24,24,1.0
5,pass_5_shard_006,1,gpt-5.4,2026-03-20T06:49:59.739423+00:00,9df8859e51fb30e12bb3035b0cf887ecad980de89ab782fc69a1681f74f8277d,1848c591a6afd816979ac933ccbc44c420634ef494ef00cdf38c0c6a6421b611,f8f5aaa5cbefc8e05c2d73668e103949cb38022cc9c3bdbc73df5dc499d2f830,17,17,1.0
5,pass_5_shard_007,1,gpt-5.4,2026-03-20T06:54:21.984819+00:00,8a9134d3701f380202d28f9f495a4a44eb5b5bf6cdbbfb944758b03eea26a07b,7d3295fdb0e08b6992b9fb96eb1b06647112199728d69a588a413448133877e1,c33b7ca65cd7720a58c61d3beaade18ba4cfd8e4cd5671a48537ce861462c7b6,11,11,1.0
